id_lower,year,radio,population,users,attractiveness,cells_to_build
-102.07712880309558_24.46707325258056,NA,NA,39,9,0.0,0
-101.89746574627168_24.30343806840572,NA,NA,23,5,0.0,0
-101.89746574627168_24.385282141599326,NA,NA,8,2,0.0,0
-101.89746574627168_24.54881126905396,NA,NA,27,6,0.0,0
-102.70594950197923_25.28204259258345,NA,NA,0,0,0.0,0
-102.70594950197923_25.363242501952417,NA,NA,0,0,0.0,0
-102.6161179735673_25.20078829432483,NA,NA,17,4,0.0,0
-102.6161179735673_25.28204259258345,NA,NA,1,0,0.0,0
-102.6161179735673_25.363242501952417,NA,NA,0,0,0.0,0
-102.6161179735673_25.444387895859457,NA,NA,1,0,0.0,0
-102.52628644515534_25.363242501952417,NA,NA,3,0,0.0,0
-102.52628644515534_25.444387895859457,NA,NA,4,1,0.0,0
-102.4364549167434_25.28204259258345,NA,NA,33,8,0.0,0
-102.4364549167434_25.363242501952417,NA,NA,0,0,0.0,0
-102.34662338833144_24.712127491887145,NA,NA,27,6,0.0,0
-102.34662338833144_24.793705436249,NA,NA,2,0,0.0,0
-102.34662338833144_25.28204259258345,NA,NA,0,0,0.0,0
-102.2567918599195_24.712127491887145,NA,NA,16,4,0.0,0
-102.2567918599195_25.038117040038248,NA,NA,18,4,0.0,0
-102.2567918599195_25.28204259258345,NA,NA,1,0,0.0,0
-102.2567918599195_25.363242501952417,NA,NA,1,0,0.0,0
-102.16696033150754_25.28204259258345,NA,NA,7,1,0.0,0
-102.16696033150754_25.363242501952417,NA,NA,4,1,0.0,0
-102.07712880309558_24.712127491887145,NA,NA,17,4,0.0,0
-102.07712880309558_24.956700339764303,NA,NA,28,7,0.0,0
-102.07712880309558_25.119479734271003,NA,NA,35,8,0.0,0
-102.07712880309558_25.20078829432483,NA,NA,39,9,0.0,0
-101.89746574627168_24.875229762108027,NA,NA,3,0,0.0,0
-101.89746574627168_25.20078829432483,NA,NA,21,5,0.0,0
-102.70594950197923_25.606514633611518,NA,NA,8,2,0.0,0
-102.70594950197923_26.01086869800926,NA,NA,1,0,0.0,0
-102.70594950197923_26.091573474384994,NA,NA,1,0,0.0,0
-102.70594950197923_26.252816012613508,NA,NA,7,1,0.0,0
-102.6161179735673_25.687495726925793,NA,NA,21,5,0.0,0
-102.52628644515534_25.525478648254804,NA,NA,5,1,0.0,0
-102.4364549167434_25.525478648254804,NA,NA,20,5,0.0,0
-102.4364549167434_25.849292740029377,NA,NA,17,4,0.0,0
-102.34662338833144_25.525478648254804,NA,NA,39,9,0.0,0
-102.2567918599195_25.849292740029377,NA,NA,17,4,0.0,0
-102.2567918599195_25.93010841242947,NA,NA,1,0,0.0,0
-102.2567918599195_26.01086869800926,NA,NA,1,0,0.0,0
-102.2567918599195_26.091573474384994,NA,NA,10,2,0.0,0
-102.70594950197923_26.333353532323734,NA,NA,6,1,0.0,0
-102.70594950197923_26.413835058545235,NA,NA,14,3,0.0,0
-102.6161179735673_26.333353532323734,NA,NA,1,0,0.0,0
-102.6161179735673_26.413835058545235,NA,NA,12,3,0.0,0
-102.52628644515534_26.413835058545235,NA,NA,1,0,0.0,0
-102.52628644515534_26.494260471520562,NA,NA,2,0,0.0,0
-102.4364549167434_26.494260471520562,NA,NA,0,0,0.0,0
-102.4364549167434_26.574629652018167,NA,NA,0,0,0.0,0
-102.34662338833144_26.574629652018167,NA,NA,14,3,0.0,0
-102.2567918599195_26.975627931071763,NA,NA,1,0,0.0,0
-102.16696033150754_26.735198841284596,NA,NA,8,2,0.0,0
-102.16696033150754_26.815398614221458,NA,NA,4,1,0.0,0
-102.16696033150754_26.895541683016987,NA,NA,0,0,0.0,0
-102.16696033150754_26.975627931071763,NA,NA,9,2,0.0,0
-102.07712880309558_27.055657242313234,NA,NA,6,1,0.0,0
-101.98729727468364_26.895541683016987,NA,NA,2,0,0.0,0
-101.98729727468364_26.975627931071763,NA,NA,12,3,0.0,0
-101.89746574627168_26.65494248133258,NA,NA,7,1,0.0,0
-101.89746574627168_26.735198841284596,NA,NA,31,7,0.0,0
-102.70594950197923_27.215544592701203,NA,NA,1,0,0.0,0
-102.70594950197923_27.295402402338105,NA,NA,2,0,0.0,0
-102.70594950197923_27.85279367098089,NA,NA,0,0,0.0,0
-102.6161179735673_27.295402402338105,NA,NA,0,0,0.0,0
-102.6161179735673_27.85279367098089,NA,NA,0,0,0.0,0
-102.52628644515534_27.295402402338105,NA,NA,0,0,0.0,0
-102.52628644515534_27.773339995870302,NA,NA,1,0,0.0,0
-102.52628644515534_27.85279367098089,NA,NA,0,0,0.0,0
-102.4364549167434_27.375202816142718,NA,NA,0,0,0.0,0
-102.4364549167434_27.53463100303685,NA,NA,0,0,0.0,0
-102.4364549167434_27.61425855083609,NA,NA,2,0,0.0,0
-102.4364549167434_27.69382825222259,NA,NA,27,6,0.0,0
