year,id_lower,id_upper,population,area_km2,population_km2,users,cells_to_build,radio,cost,population_served,motorway,primary,secondary,tertiary,trunk,total,attractiveness
2000,-105.58055841116172_22.57271803648727,-105.89496876060356_22.613568031756117,453,85,5.329411764705882,113.25,1,gsm,100000,453,45.0,0.0,0.0,8.5,15.4,68.9,450000.0
2000,-110.97045011587883_28.801668816203076,-111.28486046532069_29.07607902640035,5,77,0.0649350649350649,1.25,1,gsm,100000,5,44.9,0.0,0.0,0.0,0.0,44.9,449000.0
2000,-90.66852469477766_19.555329571527224,-90.62360893057169_19.25824126810751,4996,82,60.926829268292686,1249.0,1,gsm,100000,4996,44.9,14.0,0.0,1.2,0.0,60.1,449000.0
2000,-99.65167753597288_27.215544592701203,-99.6067617717669_27.494081813419797,2,79,0.0253164556962025,0.5,1,gsm,100000,2,44.9,22.1,0.0,0.0,0.0,67.0,449000.0
2000,-104.95173771227806_27.45494572067861,-104.99665347648403_27.494081813419797,359,78,4.602564102564102,89.75,1,gsm,100000,359,44.8,14.1,0.0,0.0,0.0,58.9,448000.0
2000,-100.5499928200924_22.57271803648727,-100.50507705588642_22.613568031756117,440,85,5.176470588235294,110.0,1,gsm,100000,440,44.7,0.0,16.4,17.0,11.6,89.69999999999999,447000.0
2000,-104.3229170133944_26.735198841284596,-104.09833819236451_26.694378202546382,741,79,9.379746835443038,185.25,1,gsm,100000,741,44.5,14.4,0.0,9.7,0.0,68.6,445000.0
2000,-100.46016129168045_20.903932972415895,-100.50507705588642_20.945304610476846,4802,87,55.195402298850574,1200.5,1,gsm,100000,4802,44.3,0.0,0.0,16.7,0.0,61.0,443000.0
2000,-101.71780268944778_25.525478648254804,-101.40339234000594_25.889022851998433,141,81,1.7407407407407407,35.25,1,gsm,100000,141,44.3,0.0,0.0,26.9,0.0,71.19999999999999,443000.0
2000,-104.95173771227806_27.215544592701203,-104.99665347648403_27.494081813419797,235,79,2.9746835443037973,58.75,1,gsm,100000,235,44.3,0.0,0.0,23.2,0.0,67.5,443000.0
2000,-99.65167753597288_27.13562950119585,-99.6067617717669_27.494081813419797,2,79,0.0253164556962025,0.5,1,gsm,100000,2,44.3,22.1,0.0,0.0,0.0,66.4,443000.0
2000,-100.7296558769163_21.40659520719035,-100.50507705588642_21.781862442026636,4068,86,47.30232558139535,1017.0,1,gsm,100000,4068,44.2,0.0,0.0,23.3,0.0,67.5,442000.0
2000,-103.24493867245096_20.651966032043,-103.20002290824499_20.945304610476846,797672,87,9168.64367816092,199418.0,20,gsm,2000000,797672,44.1,23.1,46.9,166.5,33.3,313.90000000000003,441000.0
2000,-99.20251989391312_18.19535640646759,-99.6067617717669_18.408052407294335,1935,90,21.5,483.75,1,gsm,100000,1935,44.1,16.2,0.0,13.3,0.0,73.6,441000.0
2000,-99.56184600756092_25.687495726925793,-99.6067617717669_25.889022851998433,34,81,0.419753086419753,8.5,1,gsm,100000,34,44.1,14.7,0.0,12.0,0.0,70.8,441000.0
2000,-100.3703297632685_24.057589406269315,-100.50507705588642_24.261843284963483,896,83,10.795180722891564,224.0,1,gsm,100000,896,43.9,0.0,0.0,21.1,0.0,65.0,439000.0
2000,-100.3703297632685_24.30343806840572,-100.50507705588642_24.261843284963483,446,83,5.373493975903615,111.5,1,gsm,100000,446,43.9,0.0,0.0,5.9,0.0,49.8,439000.0
2000,-99.92117212120874_20.31536009734494,-99.6067617717669_20.104045576200285,21642,87,248.7586206896552,5410.5,1,gsm,100000,21642,43.9,0.0,0.0,4.3,29.4,77.6,439000.0
2000,-111.0602816442908_29.819949993024082,-111.28486046532069_29.858158417710026,9,75,0.12,2.25,1,gsm,100000,9,43.8,0.0,0.0,0.0,0.0,43.8,438000.0
2000,-104.59241159863024_21.23923094804045,-104.99665347648403_20.945304610476846,1099,86,12.77906976744186,274.75,1,gsm,100000,1099,43.7,0.0,0.0,3.2,0.0,46.900000000000006,437000.0
2000,-97.49572085408602_20.903932972415895,-97.81013120352786_20.945304610476846,7013,87,80.60919540229885,1753.25,1,gsm,100000,7013,43.7,0.0,0.0,19.6,0.0,63.3,437000.0
2000,-98.57369919502945_25.93010841242947,-98.70844648764738_25.889022851998433,72,81,0.8888888888888888,18.0,1,gsm,100000,72,43.6,0.0,0.0,0.0,0.0,43.6,436000.0
2000,-99.92117212120874_26.815398614221458,-99.6067617717669_26.694378202546382,3,79,0.0379746835443038,0.75,1,gsm,100000,3,43.6,23.4,0.0,16.4,0.0,83.4,436000.0
